@RELATION "short answer attributes"

@ATTRIBUTE cosine REAL
@ATTRIBUTE nKeywords REAL
@ATTRIBUTE lsa REAL
@ATTRIBUTE partwords REAL
@ATTRIBUTE lang_sim REAL
@ATTRIBUTE lda REAL
@ATTRIBUTE align REAL
@ATTRIBUTE corpus_sim REAL
@ATTRIBUTE lda_extract REAL
@ATTRIBUTE cos_score REAL
@ATTRIBUTE bingo_score REAL
@ATTRIBUTE jaccard REAL
@ATTRIBUTE "dice sim" REAL
@ATTRIBUTE keywords_norm REAL
@ATTRIBUTE LSI_query REAL
@ATTRIBUTE bleuscore REAL
@ATTRIBUTE category {0, 1, 2, 3}

@DATA
0.462,37,2.5429440039067686,0.13043478260869565,0.19340304741604136,4,0.5777777777777777,0.5,4,0.1635168040412513,24.12360547948783,0.1896551724105232,0.27528900732050504,28.888888888674902,0.7847376465797424,0.01645753876638311,1
0.444,30,2.3310279222520927,0.06521739130434782,0.18324121916063468,9,0.32653061224489793,0.3333333333333333,5,0.08317726927134036,15.500397925088325,0.06779661016834243,0.07001866494615758,22.96296296279287,0.6607871055603027,0.07562525204691939,1
0.37,20,1.624105720085468,0.06521739130434782,0.21570610098580906,9,0.4878048780487805,0.375,6,0.08122493134494818,9.4256087866382,0.0799999999984,0.0970465474325241,15.555555555440332,0.5403072834014893,0.15046137430231069,1
0.0,1,0.0,0.0,0.13887628852989714,9,0.13333333333333333,0.125,0,0.032635180018006325,2.9175434043081103,0.02564102564036818,0.00043459365493260114,0.7407407407352539,0.47018739581108093,0.1500205116304213,0
0.384,16,2.519518783172618,0.021739130434782608,0.20628840940069104,9,0.2631578947368421,0.08333333333333333,1,0.21282432142052388,13.795082428751162,0.08695652173724008,0.12915758583022557,12.592592592499315,0.7044531106948853,0.0003635463344262894,2
0.181,20,2.086757308759951,0.021739130434782608,0.24400597571498514,9,0.25,0.125,0,0.16942498167134418,4.386739649239649,0.047619047617913836,0.014790153349474137,14.814814814705077,0.7472548484802246,4.5554866459593464e-05,1
0.453,33,2.295244773987246,0.13043478260869565,0.19121440755877556,4,0.5614035087719298,0.5833333333333334,4,0.2246360073395558,28.226615263410242,0.14285714285510204,0.2102249087746638,25.18518518499863,0.6954863667488098,0.013726224293609961,1
0.607,36,3.1612085491705297,0.13043478260869565,0.216302192985254,4,0.5833333333333334,0.5,1,0.2557066597835046,22.81346415022885,0.1774193548358481,0.1810568757756278,27.407407407204392,0.7768522500991821,0.05152076923812792,3
0.29,17,2.887841866468436,0.08695652173913043,0.24358249145919775,0.9487163126468658,0.5416666666666666,0.5833333333333334,5,0.17722477587541652,20.09799457359021,0.13114754098145662,0.14763609166623087,12.592592592499315,0.6991302371025085,0.051150926851498135,3
0.296,36,2.3310279222520927,0.06521739130434782,0.17302756369795994,9,0.35294117647058826,0.3333333333333333,0,0.2694500131501824,15.872285382577815,0.09836065573609246,0.058000408886402746,27.407407407204392,0.513586699962616,0.0009012654892010591,2
0.128,2,1.6841322434592652,0.021739130434782608,0.25635308989733874,9,0.5333333333333333,0.20833333333333334,0,0.23078620281028395,2.5583514380879437,0.05263157894598339,0.02537855394679444,1.4814814814705077,0.3077068328857422,0.15001967385734494,0
0.484,34,2.7265186261341405,0.10869565217391304,0.24667929860020293,9,0.6,0.3333333333333333,2,0.2536688497832119,14.196193568213694,0.11538461538239646,0.08188920418231792,25.18518518499863,0.6537412405014038,0.0006163065754616979,3
0.362,17,1.3561979679144718,0.043478260869565216,0.13911021979094668,9,0.32558139534883723,0.20833333333333334,3,0.17889515371804174,10.465858444960613,0.07407407407270233,0.04703573262894908,12.592592592499315,0.6382325887680054,0.0005684585045661909,2
0.128,2,1.6841322434592652,0.021739130434782608,0.3005899842306126,9,0.5,0.16666666666666666,0,0.7814889024392007,2.096309388066354,0.05555555555401235,0.026785929551315306,1.4814814814705077,0.3077068328857422,1.967018501138997e-06,2
0.366,41,1.6507261679834666,0.08695652173913043,0.21663116841696667,9,0.32653061224489793,0.4583333333333333,5,0.28135403712206775,15.997067840140593,0.08333333333194445,0.12047402653663215,30.370370370145405,0.6782417893409729,0.05076451401469276,0
0.0,1,3.164326673559703,0.021739130434782608,0.2810055675263645,9,0.07407407407407407,0.041666666666666664,0,0.1776714382756295,0.6722222222222223,0.027027027026296568,0.0004580852038478769,0.7407407407352539,0.6076129078865051,0.15000004876675693,0
0.445,37,2.4813015137109513,0.17391304347826086,0.23153193757717044,0.960779145359993,0.6363636363636364,0.4583333333333333,3,0.49814131648656906,20.753576360000505,0.19999999999666668,0.21156920821403066,28.148148147939644,0.6255255937576294,0.06895322523317182,3
0.128,8,1.8634702502158629,0.021739130434782608,0.2079741461602218,9,0.40816326530612246,0.5416666666666666,1,0.15832343488076875,16.05173638841528,0.04615384615313609,0.03334530382341881,5.925925925882031,0.39145100116729736,0.0004968599086725591,0
0.286,24,3.044043623297409,0.043478260869565216,0.21385439410253076,9,0.4878048780487805,0.2916666666666667,6,0.5401316200290357,12.558095254418784,0.1111111111090535,0.06647324740544518,17.777777777646094,0.49665865302085876,0.0008023388787819307,0
