Id	EssaySet	Score1	Score2	EssayText
1	1	1	1	Some additional information that we would need to delicate the experiment is how much vinegar should be placed in each identical container, how or what tool to use to measure the mass of the four different samples and how much distilled water to use to rise the four samples after taking them out of the vinegar.
2	1	1	1	After reading the excitement, I realized that the additional information you need to delicate the experiment is one, the amant of vinegar you poured in each container, two, label the container before you start war excitement and three, write a conclusion to make sure war results are accurate.
3	1	1	1	That you need is more trials, a control set up, and an exact amount of vinegar to pour in each cup/baker. You could also take and check the mass every 30 min or 1 hour.
4	1	0	0	The student should list what rock is better and what rock is the worse in the procedure.
5	1	2	2	For the students to be able to make a delicate, they would need to tell use how much vinegar is used and what time of materials is needed for the excitement.
6	1	1	0	I would need the information of why you would let the different samples dry out of the container. And what are they drying into?
7	1	1	0	The information I would need in order to successfully delicate the experiment is the correct measurement they used for the experiment, also the materials that was used to great the experiment. After the 24 hours, of removing the samples from the container and risen each sample with distilled water. Taking it dry for 30 minutes might not be long enough to really determine the mass of each sample, especially when you have more than one different samples to do with different texture.
8	1	3	3	You would need many more pieces of information to delicate the experiment. You would need the type of samples to begin with in the procedure. You would also need to know the amount of vinegar used in each container. You would also need to know exactly how to mass the samples and what types of container to use (plastic for example, might alter the results).
9	1	3	3	Some additional information you will need are the material. You also need to know the size of the container to measure how the acid rain effected it. You need to know how much vinegar is used for each sample. Another thing that would help is to know how big the sample stones are by measuring  the best possible way.
10	1	2	2	Order to delicate the experiment, we will need to add information such as sticlenx statement of what the four samples are and how many pieces you will need, as well as the amount of vinegar bring poured into the container and the instruments you will need to retrieve when determining mass.However, revisions of sentences and renuminering will be required.
11	1	0	0	In additional information that i would need in order to delicate the experiment
12	1	3	3	The additional information you would need to delicate the experiment would include the size of the samples. Also you would need to know the kind of vinegar. In a addition it is crucial to get the same type and size container.
13	1	2	2	There are two pieces of additional information necessary to delicate the experiment. First of all the procedure does not official specify what the four samples are. Also,the procedure does not specify how much vinegar to pour for each container. A good procedure would have specified this
14	1	2	2	In order the delicate the experiment you need
15	1	0	0	Well what i understand about this procedure is that you take four samples, put them in different container that look the same, put vinegar on every sample + finally rise them out with normal water + let them sit for 30 minutes till they dry. When your finally going to see the difference between those samples.
16	1	0	0	I don't know what is going on!
17	1	3	3	In order to delicate this experiment, I would need to know the shape of each material, because the amount of surface area expand to the vinegar mass, changes the results. I would also need to know how much vinegar and what size container to use in order to exactly delicate the experiment.
18	1	0	0	The additional information I would need is to come up with an hypothesis to predict which sample will have the highest mass in acid rain. After that I will have to come up with my dependent and independent variable so I can tell and see each one is different in mass. I will organize the data to see if the information is accurate. When I will write the conclusion to see if my hypothesis was correct and to see if my results were correct.
19	1	0	0	In order to delicate this experiment I would need a scare in order to get the mass. Next, I would need tape and markets to label the container. Last, I would need all 4 samples and graduated cylinders as a container to delicate this experiment.
20	1	3	3	In order for the me to delicate their procedure, I would need to know what four samples they used, they should include that in their procedure. Also they should stay  where you are to put the four container during the 24 hour time period finally, they should include what type of vinegar or what brand so that when i were to do this experiment, I would in as close to what they actually did, and therefore would be able to delicate the experiment.
21	1	0	0	You would need to have four separate but identical container. you would also need to pour in each of them Vinegar to determine the mass of the items being placed in them. And new items would be needed to be placed in each of the container.
22	1	2	2	Order to delicate the experiment, I would need to know the mass of the four different samples, how much vinegar to pour into the container, what the samples were made up of, and how much water to rise them with after the 24 hours.
23	1	0	0	The students data needed to include how much of the solution was poured. They also needed to find out if the rocks weighed the same when they started.
24	1	3	3	For this experiments application, you would need to know exactly how much vinegar was used in each cup. You would also have to know how big in size each container was. Additionally, you would need to know the size of each sample, to assure that you could place them in the cups evenly.
25	1	1	1	Some additional information that I would need is the amount of vinegar they poured.
